symbol,entry_time,exit_time,entry_price,exit_price,quantity,position_type,net_pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,exit_level,hard_stop_915,confluence_trade,oi_signal_pattern,hybrid_signal_type,entry_reason,scenario,signal_type,leveraged_exposure,rule_triggered,return_pct,entry_order_id,exit_order_id,trade_completed,trade_number,zerodha_symbol,transaction_costs_applied,oi_signal_strength,oi_atm_strike,hybrid_oi_change_pct,hybrid_price_change_pct,confluence_strength,confluence_time_gap_seconds,trailing_stop_high,previous_candle_high,final_holding_minutes,final_profit_pct,system_version
RBLBANK,2026-01-05T09:28:54.715739,2026-01-05T09:41:08.882958,313.2,311.3,159,SHORT,302.0999999999964,0.6066411238824959,PROFIT_TRAILING_STOP_5MIN,12,1.1653895274584858,312.0,320.9,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
LTIM,2026-01-05T10:22:35.163567,2026-01-05T12:23:34.881794,6077.0,6116.5,8,SHORT,-316.0,-0.6499917722560474,HARD_STOP_LOSS_915,120,0.1727826230047721,6115.0,6115.0,True,STRONG_BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
WAAREEENER,2026-01-05T09:49:33.559763,2026-01-05T14:28:39.168653,2737.4,2715.0,18,SHORT,403.20000000000164,0.8182947322276646,PROFIT_TRAILING_STOP_5MIN,279,1.0484401256667009,2713.7,2864.9,True,STRONG_BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
POLYCAB,09:36,2026-01-05T14:59:41.151127,7656.0,7764.0,6,SHORT,-648.0,,EOD_EXIT,321,0.3853187042842215,,,True,BEARISH,BEARISH,,CONFLUENCE_CONFIRMED,CONFLUENCE_BEARISH,50000.0,1.0,-6.48,260105190296499,260105191536303,2026-01-05T14:59:42.264819,2.0,POLYCAB,False,1.76,8000.0,2.14,-1.79,0.0,0.0,7659.5,7659.5,321.0,0.0,CONFLUENCE_TRADING_SYSTEM_v2.0_SIMPLE_TRAILING_STOP
PREMIERENE,09:54,2026-01-05T14:59:41.151127,786.5,791.3,63,SHORT,-302.4,,EOD_EXIT,304,0.15257469802924928,,,True,STRONG_BEARISH,BEARISH,,CONFLUENCE_CONFIRMED,CONFLUENCE_BEARISH,50000.0,1.0,-3.02,260105190415333,260105191536471,2026-01-05T14:59:45.525857,4.0,PREMIERENE,False,7.01,850.0,3.83,-2.48,0.0,0.0,787.0,787.0,304.0,0.0,CONFLUENCE_TRADING_SYSTEM_v2.0_SIMPLE_TRAILING_STOP
ONGC,10:45,2026-01-05T14:59:41.151127,236.09,237.92,211,SHORT,-386.13,,EOD_EXIT,252,0.04235672836629858,,,True,BEARISH,BEARISH,,CONFLUENCE_CONFIRMED,CONFLUENCE_BEARISH,50000.0,1.0,-3.86,260105190686777,260105191536507,2026-01-05T14:59:46.221571,6.0,ONGC,False,1.04,245.0,2.24,-2.5,0.0,0.0,236.1,236.1,252.0,0.0,CONFLUENCE_TRADING_SYSTEM_v2.0_SIMPLE_TRAILING_STOP
MANAPPURAM,10:50,2026-01-05T14:59:41.151127,306.15,307.5,163,SHORT,-220.05,,EOD_EXIT,247,0.3266372693124286,,,True,BEARISH,BEARISH,,CONFLUENCE_CONFIRMED,CONFLUENCE_BEARISH,50000.0,1.0,-2.2,260105190701622,260105191536535,2026-01-05T14:59:46.866428,7.0,MANAPPURAM,False,0.54,300.0,2.05,-1.7,0.0,0.0,306.25,306.25,247.0,0.0,CONFLUENCE_TRADING_SYSTEM_v2.0_SIMPLE_TRAILING_STOP
