symbol,position_type,entry_time,exit_time,entry_price,exit_price,quantity,pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,entry_reason,oi_signal_count,trade_number,exit_level,hard_stop_915
PGEL,LONG,2026-02-10T10:15:07.027106,2026-02-10T10:18:27.915350,598.0,597.4,83,-49.80000000000189,-0.10033444816053892,HARD_STOP_LOSS_915,3,0,NORMAL_3RD_OI_WITH_STRONG_BULLISH,65,7,597.5,597.5
LUPIN,LONG,2026-02-10T09:38:03.084405,2026-02-10T11:51:04.383653,2221.5,2210.8,22,-235.399999999996,-0.4816565383749637,HARD_STOP_LOSS_915,133,0.3466126491109529,NORMAL_3RD_OI_WITH_STRONG_BULLISH,33,4,2212.6,2212.6
360ONE,LONG,2026-02-10T11:05:31.600835,2026-02-10T13:51:33.540463,1143.0,1155.0,43,516.0,1.0498687664041995,PROFIT_TRAILING_STOP_5MIN,166,1.0498687664041995,NORMAL_3RD_OI_WITH_STRONG_BULLISH,23,9,1125.8,1124.1
BSE,LONG,2026-02-10T09:31:28.320667,2026-02-10T15:00:32.605897,3168.5,3172.2,15,55.49999999999727,0.11677449897427232,EOD_EXIT,329,0.5175950765346408,NORMAL_3RD_OI_WITH_STRONG_BULLISH,33,1,,
KFINTECH,LONG,2026-02-10T09:31:28.688555,2026-02-10T15:00:32.606201,1006.6,1025.8,49,940.7999999999967,1.9074110868269354,EOD_EXIT,329,3.0697397178621078,NORMAL_3RD_OI_WITH_STRONG_BULLISH,33,2,,
BLUESTARCO,LONG,2026-02-10T09:34:53.098224,2026-02-10T15:00:32.606491,1971.0,1940.0,25,-775.0,-1.5728056823947234,EOD_EXIT,325,0.314561136478947,NORMAL_3RD_OI_WITH_STRONG_BULLISH,49,3,,
AMBER,LONG,2026-02-10T10:01:30.679175,2026-02-10T15:00:32.606739,7428.5,7512.0,6,501.0,1.1240492697045164,EOD_EXIT,299,1.2653967826613717,NORMAL_3RD_OI_WITH_STRONG_BULLISH,113,5,,
TATASTEEL,LONG,2026-02-10T10:08:28.646111,2026-02-10T15:00:32.606986,208.0,208.07,240,16.799999999998363,0.03365384615384287,EOD_EXIT,292,1.0144230769230833,NORMAL_3RD_OI_WITH_STRONG_BULLISH,159,6,,
TORNTPOWER,LONG,2026-02-10T10:48:59.002652,2026-02-10T15:00:32.607252,1495.0,1482.6,33,-409.200000000003,-0.8294314381270963,EOD_EXIT,251,0.7357859531772575,NORMAL_3RD_OI_WITH_STRONG_BULLISH,197,8,,
HDFCAMC,LONG,2026-02-10T11:25:48.165422,2026-02-10T15:00:32.607501,2799.0,2818.3,17,328.1000000000031,0.6895319757056156,EOD_EXIT,214,0.8217220435869954,NORMAL_3RD_OI_WITH_STRONG_BULLISH,137,10,,
