symbol,position_type,entry_time,exit_time,entry_price,exit_price,quantity,pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,entry_reason,oi_signal_count,trade_number
CIPLA,LONG,2026-04-24T09:44:14.507746,2026-04-24T15:00:06.077902,1284.0,1298.5,38,551.0,1.129283489096573,EOD_EXIT,315,1.4797507788161994,NORMAL_3RD_OI_WITH_STRONG_BULLISH,79,1
OIL,LONG,2026-04-24T09:47:51.810222,2026-04-24T15:00:06.078504,481.0,474.3,103,-690.0999999999988,-1.3929313929313907,EOD_EXIT,312,0.7068607068607021,NORMAL_3RD_OI_WITH_STRONG_BULLISH,29,2
COCHINSHIP,LONG,2026-04-24T10:05:59.570102,2026-04-24T15:00:06.079207,1677.9,1662.2,29,-455.3000000000013,-0.9356934263066956,EOD_EXIT,294,1.6151141307586812,NORMAL_3RD_OI_WITH_STRONG_BULLISH,99,3
MARICO,LONG,2026-04-24T10:20:50.599499,2026-04-24T15:00:06.079993,774.7,781.5,64,435.1999999999971,0.8777591325674395,EOD_EXIT,279,0.9745708016006136,NORMAL_3RD_OI_WITH_STRONG_BULLISH,93,4
IEX,LONG,2026-04-24T10:26:19.724686,2026-04-24T15:00:06.080833,126.62,123.25,394,-1327.7800000000018,-2.6615068709524596,EOD_EXIT,273,0,NORMAL_3RD_OI_WITH_STRONG_BULLISH,45,5
HUDCO,LONG,2026-04-24T10:35:53.393864,2026-04-24T15:00:06.081048,212.41,211.98,235,-101.0500000000016,-0.20243867991149514,EOD_EXIT,264,0.2730568240666694,NORMAL_3RD_OI_WITH_STRONG_BULLISH,167,6
PIIND,LONG,2026-04-24T10:39:48.943839,2026-04-24T15:00:06.081271,3113.0,3088.3,16,-395.1999999999971,-0.7934468358496569,EOD_EXIT,260,0.38548024413748794,NORMAL_3RD_OI_WITH_STRONG_BULLISH,71,7
SOLARINDS,LONG,2026-04-24T11:06:56.615367,2026-04-24T15:00:06.081448,15383.0,15121.0,3,-786.0,-1.7031788337775466,EOD_EXIT,233,0,NORMAL_3RD_OI_WITH_STRONG_BULLISH,126,8
DRREDDY,LONG,2026-04-24T11:12:46.133435,2026-04-24T15:00:06.081613,1317.8,1320.8,37,111.0,0.22765214751859159,EOD_EXIT,227,2.2461678555167808,NORMAL_3RD_OI_WITH_STRONG_BULLISH,131,9
FORTIS,LONG,2026-04-24T12:02:00.950914,2026-04-24T15:00:06.081860,928.3,930.0,53,90.10000000000241,0.18313045351718685,EOD_EXIT,178,0.28008187008510427,NORMAL_3RD_OI_WITH_STRONG_BULLISH,63,10
