symbol,entry_time,exit_time,entry_price,exit_price,quantity,position_type,net_pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,exit_level,hard_stop_915,confluence_trade,oi_signal_pattern,hybrid_signal_type,entry_reason,scenario,signal_type,leveraged_exposure,rule_triggered,return_pct,entry_order_id,exit_order_id,trade_completed,trade_number,zerodha_symbol,transaction_costs_applied,oi_signal_strength,oi_atm_strike,hybrid_oi_change_pct,hybrid_price_change_pct,confluence_strength,confluence_time_gap_seconds,trailing_stop_high,previous_candle_high,final_holding_minutes,final_profit_pct,system_version
RELIANCE,2026-03-11T10:05:02.682134,2026-03-11T11:47:26.977994,1404.2,1398.1,35,SHORT,213.50000000000477,0.43441105255662554,PROFIT_TRAILING_STOP_5MIN,102,0.5768409058538767,1397.9,1426.6,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
MARICO,2026-03-11T10:36:12.916788,2026-03-11T12:06:23.513348,777.75,772.05,64,SHORT,364.8000000000029,0.7328833172613366,PROFIT_TRAILING_STOP_5MIN,90,0.8228865316618421,771.85,792.9,True,BEARISH,EXTREME_BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2026-03-11T10:02:27.767719,2026-03-11T13:23:13.165581,2081.7,2068.8,24,SHORT,309.59999999999127,0.6196858336935984,PROFIT_TRAILING_STOP_5MIN,200,0.7445837536628718,2069.7,2198.3,True,STRONG_BEARISH,EXTREME_BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
OFSS,10:40,2026-03-11T14:59:46.155420,6775.5,6787.5,7,SHORT,-84.0,,EOD_EXIT,257,0.44277175116227585,,,True,BEARISH,BEARISH,,CONFLUENCE_CONFIRMED,CONFLUENCE_BEARISH,50000.0,1.0,-0.84,CONFLUENCE_PAPER_OFSS_1773205921,CONFLUENCE_PAPER_EXIT_OFSS_1773221386,2026-03-11T14:59:46.608916,4.0,OFSS,False,0.7,7000.0,2.23,-0.31,0.0,0.0,6775.5,6775.5,257.0,0.0,CONFLUENCE_TRADING_SYSTEM_v2.0_SIMPLE_TRAILING_STOP
