entry_time,nifty_signal,nifty_spot,sensex_atm,entry_strike,option_type,entry_price,exit_target,stop_loss,lot_size,quantity_lots,capital_deployed,instrument_key,status,exit_time,exit_price,pnl_per_lot,total_pnl,pnl_pct,holding_minutes,exit_reason,type
2026-03-23 09:16:47,BEARISH,22676.15,,73400,PE,1027.10,1109.27,873.03,20,4,82168.00,,CLOSED,2026-03-23 09:55:17,1125.50,98.4,7872.00,+9.58,38,TARGET_HIT,v1
2026-03-23 09:55:18,BEARISH,22624.75,,73300,PE,1074.00,1159.92,912.90,20,4,85920.00,,CLOSED,2026-03-23 10:13:34,1183.35,109.35,8748.00,+10.18,18,TARGET_HIT,v1
2026-03-23 10:13:35,BEARISH,22575.35,,73100,PE,1067.00,1152.36,906.95,20,4,85360.00,,CLOSED,2026-03-23 10:51:10,1166.60,99.6,7968.00,+9.33,37,TARGET_HIT,v1
2026-03-23 10:51:11,BEARISH,22521.05,,73000,PE,1113.90,1203.01,946.82,20,4,89112.00,,CLOSED,2026-03-23 12:26:56,1206.85,92.95,7436.00,+8.34,95,TARGET_HIT,v1
2026-03-23 12:26:56,BEARISH,22480.25,,72900,PE,1154.45,1246.81,981.28,20,4,92356.00,,CLOSED,2026-03-23 12:47:14,980.15,-174.3,-13944.00,-15.10,20,STOP_LOSS,v1
2026-03-23 12:47:14,BEARISH,22555.90,,73100,PE,1084.05,1170.77,921.44,20,4,86724.00,,CLOSED,2026-03-23 12:55:21,1196.90,112.85,9028.00,+10.41,8,TARGET_HIT,v1
2026-03-23 12:55:22,BULLISH,22498.80,,72300,CE,1171.55,1265.27,995.82,20,4,93724.00,,CLOSED,2026-03-23 13:45:00,1289.05,117.5,9400.00,+10.03,49,TARGET_HIT,v1
2026-03-23 13:45:01,BEARISH,22561.35,,73200,PE,1078.50,1164.78,916.73,20,4,86280.00,,CLOSED,2026-03-23 14:06:18,915.00,-163.5,-13080.00,-15.16,21,STOP_LOSS,v1
2026-03-23 14:06:19,BULLISH,22653.25,,72900,CE,1057.60,1142.21,898.96,20,4,84608.00,,CLOSED,2026-03-23 14:32:41,878.55,-179.05,-14324.00,-16.93,26,STOP_LOSS,v1
2026-03-23 14:32:41,BULLISH,22560.10,,72600,CE,1043.15,1126.60,886.68,20,4,83452.00,,CLOSED,2026-03-23 14:50:57,1184.90,141.75,11340.00,+13.59,18,TARGET_HIT,v1
2026-03-23 14:54:00,BEARISH,22640.30,,73400,PE,1024.10,1106.03,870.48,20,4,81928.00,,CLOSED,2026-03-23 15:00:08,1111.80,87.7,7016.00,+8.56,6,TARGET_HIT,v1
2026-03-23 15:00:09,BULLISH,22578.95,,72600,CE,1064.05,1149.17,904.44,20,4,85124.00,,CLOSED,2026-03-23 15:21:37,878.05,-186.0,-14880.00,-17.48,21,STOP_LOSS,v1
