symbol,position_type,entry_time,exit_time,entry_price,exit_price,quantity,pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,entry_reason,oi_signal_count,trade_number,exit_level,hard_stop_915
SYNGENE,LONG,2026-01-07T11:46:10.655169,2026-01-07T12:43:30.285510,662.85,656.5,75,-476.2500000000017,-0.9579844610394542,HARD_STOP_LOSS_915,57,0.47522063815342497,NORMAL_3RD_OI_WITH_STRONG_BULLISH,160,10,656.55,656.55
TORNTPHARM,LONG,2026-01-07T10:03:17.771466,2026-01-07T15:00:03.072838,4019.1,4100.7,12,979.1999999999989,2.0303052922296017,EOD_EXIT,296,2.0303052922296017,NORMAL_3RD_OI_WITH_STRONG_BULLISH,115,1,,
KALYANKJIL,LONG,2026-01-07T10:03:18.194706,2026-01-07T15:00:03.073265,526.45,521.9,94,-427.7000000000064,-0.8642796086997945,EOD_EXIT,296,1.0257384366986375,NORMAL_3RD_OI_WITH_STRONG_BULLISH,41,2,,
IEX,LONG,2026-01-07T10:20:13.376443,2026-01-07T15:00:03.073641,152.54,154.71,327,709.5900000000051,1.42257768454177,EOD_EXIT,279,2.163366985708674,NORMAL_3RD_OI_WITH_STRONG_BULLISH,134,3,,
LUPIN,LONG,2026-01-07T10:20:14.139379,2026-01-07T15:00:03.074021,2222.8,2214.0,22,-193.600000000004,-0.39589706676264985,EOD_EXIT,279,0,NORMAL_3RD_OI_WITH_STRONG_BULLISH,176,4,,
APOLLOHOSP,LONG,2026-01-07T10:27:52.587918,2026-01-07T15:00:03.074394,7390.0,7456.5,6,399.0,0.8998646820027064,EOD_EXIT,272,0.8998646820027064,NORMAL_3RD_OI_WITH_STRONG_BULLISH,116,5,,
MANKIND,LONG,2026-01-07T10:31:03.466756,2026-01-07T15:00:03.074741,2260.9,2313.5,22,1157.199999999998,2.3265071431730684,EOD_EXIT,268,2.6228493077977677,NORMAL_3RD_OI_WITH_STRONG_BULLISH,141,6,,
PERSISTENT,LONG,2026-01-07T10:53:58.650081,2026-01-07T15:00:03.075113,6442.0,6526.0,7,588.0,1.3039428748835764,EOD_EXIT,246,1.5600745110214218,NORMAL_3RD_OI_WITH_STRONG_BULLISH,207,7,,
MANAPPURAM,LONG,2026-01-07T11:36:26.882023,2026-01-07T15:00:03.075430,314.85,319.35,158,711.0,1.4292520247737017,EOD_EXIT,203,1.5086549150389075,NORMAL_3RD_OI_WITH_STRONG_BULLISH,58,8,,
TATAELXSI,LONG,2026-01-07T11:46:09.850755,2026-01-07T15:00:03.075805,5575.0,5890.5,8,2524.0,5.6591928251121075,EOD_EXIT,193,5.9641255605381165,NORMAL_3RD_OI_WITH_STRONG_BULLISH,214,9,,
