date,entry_time,exit_time,signal,strike,entry_price,exit_price,target,stop_loss,quantity_lots,capital,oi_change_pct,pnl,pnl_pct,holding_minutes,result
13-01-2026,09:17:04,09:42:04,BULLISH,25600CE,254.85,147.85,274.85,152.91,5,95568.75,-3.44,-40125,-41.99,24,STOP_LOSS
13-01-2026,09:42:04,09:57:48,BEARISH,26100PE,380.6,401.45,400.6,228.36,3,85635,-8.04,4691.25,5.48,15,TARGET_HIT
