symbol,entry_time,exit_time,entry_price,exit_price,quantity,position_type,net_pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,exit_level,hard_stop_915,confluence_trade,oi_signal_pattern,hybrid_signal_type,entry_reason
POLICYBZR,2025-12-30T09:38:13.429451,2025-12-30T09:51:27.568336,1874.9,1867.4,26,SHORT,195.0,0.4000213344711717,PROFIT_TRAILING_STOP_5MIN,13,0.7413728732199099,1866.4,1899.6,True,STRONG_BEARISH,EXTREME_BEARISH,UNKNOWN
IRCTC,2025-12-30T09:38:31.891197,2025-12-30T10:15:12.711969,688.25,685.1,72,SHORT,226.79999999999836,0.4576825281511046,PROFIT_TRAILING_STOP_5MIN,36,0.697420995277872,685.15,696.8,True,STRONG_BEARISH,BEARISH,UNKNOWN
ALKEM,2025-12-30T09:33:32.891760,2025-12-30T10:15:35.267095,5460.5,5445.5,9,SHORT,135.0,0.2747001190367182,PROFIT_TRAILING_STOP_5MIN,42,0.5402435674388792,5444.0,5496.5,True,BEARISH,BEARISH,UNKNOWN
PNB,2025-12-30T10:27:19.750353,2025-12-30T10:27:22.169612,120.95,120.95,413,SHORT,0.0,0.0,HARD_STOP_LOSS_915,0,0.0,120.39,120.39,True,STRONG_BEARISH,BEARISH,UNKNOWN
TITAN,2025-12-30T09:51:41.977074,2025-12-30T10:34:27.290059,3970.9,3989.5,12,SHORT,-223.1999999999989,-0.4684076657684633,HARD_STOP_LOSS_915,42,0.1737641340754008,3982.8,3982.8,True,BEARISH,BEARISH,UNKNOWN
BOSCHLTD,2025-12-30T10:09:49.287212,2025-12-30T11:06:20.263819,35500.0,35340.0,1,SHORT,160.0,0.4507042253521127,PROFIT_TRAILING_STOP_5MIN,56,0.5774647887323944,35360.0,35635.0,True,BEARISH,BEARISH,UNKNOWN
PERSISTENT,2025-12-30T10:21:39.677004,2025-12-30T11:38:12.572228,6210.5,6162.0,8,SHORT,388.0,0.780935512438612,PROFIT_TRAILING_STOP_5MIN,76,0.780935512438612,6174.5,6220.0,True,BEARISH,BEARISH,UNKNOWN
ETERNAL,2025-12-30T10:31:02.764187,2025-12-30T11:49:05.538906,279.05,276.35,179,SHORT,483.29999999999797,0.9675685361046367,PROFIT_TRAILING_STOP_5MIN,78,1.1288299587887598,276.35,282.5,True,BEARISH,BEARISH,UNKNOWN
CUMMINSIND,2025-12-30T10:02:37.435374,2025-12-30T12:20:21.030613,4379.8,4405.5,11,SHORT,-282.699999999998,-0.5867847846933608,HARD_STOP_LOSS_915,137,0.11644367322709628,4402.2,4402.2,True,STRONG_BEARISH,BEARISH,UNKNOWN
SHREECEM,2025-12-30T10:47:33.607616,2025-12-30T12:38:29.072195,26185.0,26280.0,1,SHORT,-95.0,-0.36280313156387245,HARD_STOP_LOSS_915,110,0.3246133282413596,26275.0,26275.0,True,STRONG_BEARISH,BEARISH,UNKNOWN
