date,entry_time,exit_time,signal,strike,entry_price,exit_price,entry_delta,target,stop_loss,quantity_lots,capital,oi_change_pct,pnl,pnl_pct,holding_minutes,result,type
13-01-2026,09:16:25,09:18:28,BULLISH,25550CE,305.6,300.65,1,325.6,183.36,4,91680,-1.28,-1485,-1.62,2,SIGNAL_REVERSED,version_2
13-01-2026,09:19:30,09:27:40,BEARISH,26500PE,662,709.9,-0.937,682,397.2,2,99300,-0.68,7185,7.24,8,TARGET_HIT,version_2
