symbol,position_type,entry_time,exit_time,entry_price,exit_price,quantity,pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,entry_reason,oi_signal_count,trade_number
OIL,LONG,2026-01-28T09:26:05.858395,2026-01-28T15:00:11.982230,488.25,491.55,102,336.60000000000116,0.6758832565284202,EOD_EXIT,334,1.5565796210957548,NORMAL_3RD_OI_WITH_STRONG_BULLISH,19,1
CGPOWER,LONG,2026-01-28T09:59:11.958864,2026-01-28T15:00:11.982933,557.85,581.25,89,2082.599999999998,4.194675988168858,EOD_EXIT,301,4.194675988168858,NORMAL_3RD_OI_WITH_STRONG_BULLISH,65,2
ONGC,LONG,2026-01-28T10:09:38.164181,2026-01-28T15:00:11.983643,262.43,268.53,190,1158.9999999999936,2.3244293716419486,EOD_EXIT,290,2.514956369317519,NORMAL_3RD_OI_WITH_STRONG_BULLISH,101,3
HINDZINC,LONG,2026-01-28T10:41:39.133802,2026-01-28T15:00:11.984344,724.8,714.85,68,-676.5999999999954,-1.3727924944812269,EOD_EXIT,258,1.0209713024282687,NORMAL_3RD_OI_WITH_STRONG_BULLISH,153,4
BPCL,LONG,2026-01-28T10:55:07.390591,2026-01-28T15:00:11.985044,364.2,361.95,137,-308.25,-0.6177924217462932,EOD_EXIT,245,0.42559033498078297,NORMAL_3RD_OI_WITH_STRONG_BULLISH,71,5
NATIONALUM,LONG,2026-01-28T11:17:43.925463,2026-01-28T15:00:11.986082,404.35,405.4,123,129.1499999999944,0.2596760232471756,EOD_EXIT,222,0.5069865215778296,NORMAL_3RD_OI_WITH_STRONG_BULLISH,335,6
HINDALCO,LONG,2026-01-28T11:24:30.458511,2026-01-28T15:00:11.987277,998.15,995.8,50,-117.50000000000114,-0.23543555577819195,EOD_EXIT,215,0.8666032159495043,NORMAL_3RD_OI_WITH_STRONG_BULLISH,261,7
PERSISTENT,LONG,2026-01-28T11:24:30.868918,2026-01-28T15:00:11.988036,6261.5,6210.5,7,-357.0,-0.8145013175756608,EOD_EXIT,215,0.19963267587638744,NORMAL_3RD_OI_WITH_STRONG_BULLISH,135,8
SOLARINDS,LONG,2026-01-28T11:31:39.911278,2026-01-28T15:00:11.988650,13396.0,13971.0,3,1725.0,4.292326067482831,EOD_EXIT,208,4.292326067482831,NORMAL_3RD_OI_WITH_STRONG_BULLISH,179,9
SWIGGY,LONG,2026-01-28T11:49:35.945378,2026-01-28T15:00:11.989298,318.15,321.95,157,596.6000000000017,1.194405154801198,EOD_EXIT,190,1.2258368694012367,NORMAL_3RD_OI_WITH_STRONG_BULLISH,85,10
