symbol,entry_time,exit_time,entry_price,exit_price,quantity,position_type,net_pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,exit_level,hard_stop_915,confluence_trade,oi_signal_pattern,hybrid_signal_type,entry_reason,scenario,signal_type,leveraged_exposure,rule_triggered,return_pct,entry_order_id,exit_order_id,trade_completed,trade_number,zerodha_symbol,transaction_costs_applied,oi_signal_strength,oi_atm_strike,hybrid_oi_change_pct,hybrid_price_change_pct,confluence_strength,confluence_time_gap_seconds,trailing_stop_high,previous_candle_high,final_holding_minutes,final_profit_pct,system_version
BHEL,2026-02-11T09:26:03.162131,2026-02-11T09:47:26.450143,261.2,260.75,191,SHORT,85.94999999999783,0.1722817764165347,PROFIT_TRAILING_STOP_5MIN,21,0.5934150076569722,260.85,263.25,True,STRONG_BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
LICI,2026-02-11T09:28:39.859067,2026-02-11T09:57:32.681923,877.4,874.7,56,SHORT,151.19999999999618,0.3077273763391762,PROFIT_TRAILING_STOP_5MIN,28,0.6724413038522883,874.4,886.95,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
TORNTPOWER,2026-02-11T09:44:38.062450,2026-02-11T10:17:15.252300,1416.9,1410.5,35,SHORT,224.00000000000318,0.4516903098313283,PROFIT_TRAILING_STOP_5MIN,32,1.0586491636671607,1408.8,1479.7,True,STRONG_BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
CANBK,09:53,2026-02-11T14:59:14.611464,144.25,145.57,346,SHORT,-456.72,,EOD_EXIT,304,0.15251299826689696,,,True,BEARISH,BEARISH,,CONFLUENCE_CONFIRMED,CONFLUENCE_BEARISH,50000.0,1.0,-4.57,CONFLUENCE_PAPER_CANBK_1770783907,CONFLUENCE_PAPER_EXIT_CANBK_1770802154,2026-02-11T14:59:14.975466,4.0,CANBK,False,0.46,150.0,2.02,-1.77,0.0,0.0,144.25,144.25,304.0,0.0,CONFLUENCE_TRADING_SYSTEM_v2.0_SIMPLE_TRAILING_STOP
