symbol,position_type,entry_time,exit_time,entry_price,exit_price,quantity,pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,entry_reason,oi_signal_count,trade_number,exit_level,hard_stop_915
MUTHOOTFIN,LONG,2025-12-26T09:33:39.406150,2025-12-26T10:21:24.420579,3840.5,3810.3,13,-392.59999999999764,-0.786355943236553,HARD_STOP_LOSS_915,47,0,NORMAL_3RD_OI_WITH_STRONG_BULLISH,45,1,3811.9,3811.9
RVNL,LONG,2025-12-26T09:37:24.246750,2025-12-26T15:31:01.894512,370.8,388.15,134,2324.8999999999955,4.679072276159645,SESSION_END,353,5.50161812297734,NORMAL_3RD_OI_WITH_STRONG_BULLISH,65,2,,
IRFC,LONG,2025-12-26T09:37:24.816476,2025-12-26T15:31:01.895330,125.98,132.32,396,2510.639999999996,5.032544848388625,SESSION_END,353,5.492935386569298,NORMAL_3RD_OI_WITH_STRONG_BULLISH,57,3,,
PGEL,LONG,2025-12-26T09:46:03.270744,2025-12-26T15:31:01.896034,587.85,586.95,85,-76.49999999999807,-0.15310028068384404,SESSION_END,344,0.9356128264012928,NORMAL_3RD_OI_WITH_STRONG_BULLISH,47,4,,
IREDA,LONG,2025-12-26T09:46:03.686186,2025-12-26T15:31:01.897181,140.8,142.16,355,482.7999999999947,0.9659090909090803,SESSION_END,344,1.7400568181818101,NORMAL_3RD_OI_WITH_STRONG_BULLISH,3,5,,
BLUESTARCO,LONG,2025-12-26T09:50:26.231880,2025-12-26T15:31:01.897998,1792.2,1774.7,27,-472.5,-0.9764535208124094,SESSION_END,340,0.11159468809284678,NORMAL_3RD_OI_WITH_STRONG_BULLISH,70,6,,
MAZDOCK,LONG,2025-12-26T10:01:50.371602,2025-12-26T15:31:01.898800,2608.5,2568.9,19,-752.3999999999983,-1.518113858539387,SESSION_END,329,0.6517155453325666,NORMAL_3RD_OI_WITH_STRONG_BULLISH,63,7,,
TITAGARH,LONG,2025-12-26T10:01:50.886726,2025-12-26T15:31:01.899488,896.15,900.95,55,264.00000000000375,0.5356246164146703,SESSION_END,329,1.0768286559169757,NORMAL_3RD_OI_WITH_STRONG_BULLISH,126,8,,
BDL,LONG,2025-12-26T10:01:51.258642,2025-12-26T15:31:01.900158,1509.4,1497.1,33,-405.900000000006,-0.8148933351000518,SESSION_END,329,0.5035113290048966,NORMAL_3RD_OI_WITH_STRONG_BULLISH,94,9,,
DALBHARAT,LONG,2025-12-26T10:13:55.283594,2025-12-26T15:31:01.900783,2148.2,2151.8,23,82.80000000000837,0.1675821618099043,SESSION_END,317,0.9635974304068651,NORMAL_3RD_OI_WITH_STRONG_BULLISH,81,10,,
