symbol,position_type,entry_time,exit_time,entry_price,exit_price,quantity,pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,entry_reason,oi_signal_count,trade_number,exit_level,hard_stop_915
ADANIPOWER,LONG,2026-04-17T09:28:50.628238,2026-04-17T09:32:32.314685,195.16,193.68,256,-378.8799999999974,-0.7583521213363342,HARD_STOP_LOSS_915,3,0,NORMAL_3RD_OI_WITH_STRONG_BULLISH,17,1,194.65,194.65
ANGELONE,LONG,2026-04-17T09:49:34.375772,2026-04-17T09:49:36.045427,299.76,299.76,166,0.0,0.0,HARD_STOP_LOSS_915,0,0,NORMAL_3RD_OI_WITH_STRONG_BULLISH,48,3,300.0,300.0
HDFCAMC,LONG,2026-04-17T09:49:33.817901,2026-04-17T15:00:03.203540,2762.1,2794.4,18,581.4000000000033,1.1694000941312837,EOD_EXIT,310,1.1911226964990438,NORMAL_3RD_OI_WITH_STRONG_BULLISH,87,2,,
PNBHOUSING,LONG,2026-04-17T09:49:34.891888,2026-04-17T15:00:03.265948,918.0,922.7,54,253.80000000000246,0.5119825708061051,EOD_EXIT,310,0.88779956427015,NORMAL_3RD_OI_WITH_STRONG_BULLISH,47,4,,
BSE,LONG,2026-04-17T09:58:22.446719,2026-04-17T15:00:03.324827,3497.3,3524.1,14,375.1999999999962,0.7663054356217576,EOD_EXIT,301,0.9921939782117581,NORMAL_3RD_OI_WITH_STRONG_BULLISH,67,5,,
GODFRYPHLP,LONG,2026-04-17T10:05:49.635930,2026-04-17T15:00:03.371610,2237.1,2212.0,22,-552.199999999998,-1.121988288409097,EOD_EXIT,294,0,NORMAL_3RD_OI_WITH_STRONG_BULLISH,83,6,,
KFINTECH,LONG,2026-04-17T10:09:34.235891,2026-04-17T15:00:03.402869,959.55,976.15,52,863.2000000000012,1.729977593663699,EOD_EXIT,290,2.3396383721536185,NORMAL_3RD_OI_WITH_STRONG_BULLISH,55,7,,
RVNL,LONG,2026-04-17T10:09:34.720549,2026-04-17T15:00:03.449819,304.69,303.89,164,-131.20000000000186,-0.26256194820965945,EOD_EXIT,290,2.1070596343824923,NORMAL_3RD_OI_WITH_STRONG_BULLISH,47,8,,
IREDA,LONG,2026-04-17T10:09:35.202261,2026-04-17T15:00:03.504289,132.69,132.85,376,60.15999999999872,0.12058180721983312,EOD_EXIT,290,1.0776999020272868,NORMAL_3RD_OI_WITH_STRONG_BULLISH,33,9,,
ABB,LONG,2026-04-17T10:21:50.265936,2026-04-17T15:00:03.564391,7070.0,7051.5,7,-129.5,-0.26166902404526166,EOD_EXIT,278,0.16973125884016974,NORMAL_3RD_OI_WITH_STRONG_BULLISH,137,10,,
