symbol,position_type,entry_time,exit_time,entry_price,exit_price,quantity,pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,entry_reason,oi_signal_count,trade_number,exit_level,hard_stop_915
NBCC,LONG,2025-12-29T09:36:03.577413,2025-12-29T09:36:05.067306,124.2,124.2,402,0.0,0.0,HARD_STOP_LOSS_915,0,0,NORMAL_3RD_OI_WITH_STRONG_BULLISH,21,1,124.38,124.38
IRFC,LONG,2025-12-29T09:43:47.294621,2025-12-29T09:43:49.314391,130.92,130.92,381,0.0,0.0,HARD_STOP_LOSS_915,0,0,NORMAL_3RD_OI_WITH_STRONG_BULLISH,23,6,134.5,134.5
HINDZINC,LONG,2025-12-29T09:53:04.295819,2025-12-29T09:53:11.503195,646.05,646.05,77,0.0,0.0,HARD_STOP_LOSS_915,0,0,NORMAL_3RD_OI_WITH_STRONG_BULLISH,119,9,646.7,646.7
TITAGARH,LONG,2025-12-29T09:48:42.856208,2025-12-29T10:37:55.901390,915.35,894.8,54,-1109.7000000000037,-2.2450428797727717,HARD_STOP_LOSS_915,49,0.4042169661877895,NORMAL_3RD_OI_WITH_STRONG_BULLISH,65,7,895.0,895.0
DALBHARAT,LONG,2025-12-29T09:40:20.646830,2025-12-29T10:49:28.331376,2193.4,2168.0,22,-558.800000000002,-1.1580195130847128,HARD_STOP_LOSS_915,69,0.11853743047323373,NORMAL_3RD_OI_WITH_STRONG_BULLISH,57,4,2171.4,2171.4
SUZLON,LONG,2025-12-29T09:40:20.227323,2025-12-29T11:05:29.852238,53.66,53.31,931,-325.8499999999947,-0.6522549385016667,HARD_STOP_LOSS_915,85,0.16772269847186622,NORMAL_3RD_OI_WITH_STRONG_BULLISH,43,3,53.32,53.32
VBL,LONG,2025-12-29T09:40:21.031404,2025-12-29T12:05:28.736167,490.65,482.45,101,-828.1999999999989,-1.671252420258838,HARD_STOP_LOSS_915,145,0.5808621216753334,NORMAL_3RD_OI_WITH_STRONG_BULLISH,47,5,483.05,483.05
TITAN,LONG,2025-12-29T09:48:44.202465,2025-12-29T12:56:43.985860,4006.0,3999.8,12,-74.39999999999782,-0.15476784822765396,HARD_STOP_LOSS_915,187,0.5491762356465303,NORMAL_3RD_OI_WITH_STRONG_BULLISH,57,8,4001.0,4001.0
TATASTEEL,LONG,2025-12-29T09:40:19.842083,2025-12-29T15:00:34.698500,173.16,171.86,288,-374.3999999999951,-0.7507507507507409,EOD_EXIT,320,0.502425502425505,NORMAL_3RD_OI_WITH_STRONG_BULLISH,47,2,,
NESTLEIND,LONG,2025-12-29T09:57:16.647997,2025-12-29T15:00:34.698788,1277.3,1276.0,39,-50.69999999999823,-0.1017771862522473,EOD_EXIT,303,0.6967822751115706,NORMAL_3RD_OI_WITH_STRONG_BULLISH,83,10,,
