symbol,entry_time,exit_time,entry_price,exit_price,quantity,position_type,net_pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,exit_level,hard_stop_915,confluence_trade,oi_signal_pattern,hybrid_signal_type,entry_reason,scenario,signal_type,leveraged_exposure,rule_triggered,return_pct,entry_order_id,exit_order_id,trade_completed,trade_number,zerodha_symbol,transaction_costs_applied,oi_signal_strength,oi_atm_strike,hybrid_oi_change_pct,hybrid_price_change_pct,confluence_strength,confluence_time_gap_seconds,trailing_stop_high,previous_candle_high,final_holding_minutes,final_profit_pct,system_version
IDFCFIRSTB,2026-02-23T09:30:37.596323,2026-02-23T10:01:24.574311,75.16,68.28,665,SHORT,4575.199999999997,9.153805215540176,PROFIT_TRAILING_STOP_5MIN,30,11.122937732836615,68.57,75.16,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
BDL,2026-02-23T10:21:50.940975,2026-02-23T10:53:13.376783,1278.4,1271.1,39,SHORT,284.7000000000071,0.5710262828535811,PROFIT_TRAILING_STOP_5MIN,31,0.7431163954943679,1268.7,1319.6,True,STRONG_BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
AUBANK,2026-02-23T10:11:00.591083,2026-02-23T10:55:41.844249,962.9,958.85,51,SHORT,206.54999999999768,0.42060442413541954,PROFIT_TRAILING_STOP_5MIN,44,0.8931353203863353,957.7,998.75,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
ITC,10:20,2026-02-23T14:59:01.501013,325.8,325.3,153,SHORT,76.5,,EOD_EXIT,277,0.4297114794352468,,,True,BEARISH,BEARISH,,CONFLUENCE_CONFIRMED,CONFLUENCE_BEARISH,50000.0,1.0,0.77,CONFLUENCE_PAPER_ITC_1771822309,CONFLUENCE_PAPER_EXIT_ITC_1771838941,2026-02-23T14:59:01.901038,3.0,ITC,False,0.48,330.0,2.15,-0.43,0.0,0.0,325.85,325.85,277.0,0.0,CONFLUENCE_TRADING_SYSTEM_v2.0_SIMPLE_TRAILING_STOP
IRCTC,10:20,2026-02-23T14:59:01.501013,635.1,646.3,78,SHORT,-873.6,,EOD_EXIT,277,0.0,,,True,STRONG_BEARISH,BEARISH,,CONFLUENCE_CONFIRMED,CONFLUENCE_BEARISH,50000.0,1.0,-8.74,CONFLUENCE_PAPER_IRCTC_1771822310,CONFLUENCE_PAPER_EXIT_IRCTC_1771838942,2026-02-23T14:59:02.370314,4.0,IRCTC,False,2.86,640.0,-2.22,-1.71,0.0,0.0,635.5,635.5,277.0,0.0,CONFLUENCE_TRADING_SYSTEM_v2.0_SIMPLE_TRAILING_STOP
