symbol,position_type,entry_time,exit_time,entry_price,exit_price,quantity,pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,entry_reason,oi_signal_count,trade_number,exit_level,hard_stop_915
IOC,LONG,2026-04-08T09:39:41.169723,2026-04-08T09:39:41.971947,141.6,141.6,353,0.0,0.0,HARD_STOP_LOSS_915,0,0,NORMAL_3RD_OI_WITH_STRONG_BULLISH,23,2,142.06,142.06
BSE,LONG,2026-04-08T09:53:24.058895,2026-04-08T11:06:13.978416,3151.5,3189.9,15,576.0000000000014,1.2184673964778705,PROFIT_TRAILING_STOP_5MIN,72,1.2184673964778705,NORMAL_3RD_OI_WITH_STRONG_BULLISH,123,7,3076.4,3031.8
DELHIVERY,LONG,2026-04-08T09:46:21.383721,2026-04-08T11:55:02.062552,451.45,451.2,110,-27.5,-0.05537711817477019,HARD_STOP_LOSS_915,128,1.6280872743382486,NORMAL_3RD_OI_WITH_STRONG_BULLISH,85,4,451.35,451.35
KFINTECH,LONG,2026-04-08T09:36:13.751972,2026-04-08T12:31:06.880918,938.85,930.25,53,-455.8000000000012,-0.9160142727805317,HARD_STOP_LOSS_915,174,0.8414549715076932,NORMAL_3RD_OI_WITH_STRONG_BULLISH,57,1,932.0,932.0
JINDALSTEL,LONG,2026-04-08T09:42:59.659487,2026-04-08T15:00:00.415809,1203.3,1215.6,41,504.29999999999814,1.0221889803041597,EOD_EXIT,317,1.5873015873015988,NORMAL_3RD_OI_WITH_STRONG_BULLISH,45,3,,
HINDPETRO,LONG,2026-04-08T09:49:52.163461,2026-04-08T15:00:00.416172,356.65,363.0,140,889.0000000000032,1.780457030702376,EOD_EXIT,310,2.8038693396887706,NORMAL_3RD_OI_WITH_STRONG_BULLISH,33,5,,
BHARATFORG,LONG,2026-04-08T09:49:52.572931,2026-04-08T15:00:00.416524,1765.4,1788.0,28,632.7999999999975,1.2801631358332337,EOD_EXIT,310,1.393451908915821,NORMAL_3RD_OI_WITH_STRONG_BULLISH,97,6,,
LT,LONG,2026-04-08T09:53:24.499048,2026-04-08T15:00:00.416842,3996.9,4002.8,12,70.80000000000109,0.14761440116090196,EOD_EXIT,306,0.8256398708999474,NORMAL_3RD_OI_WITH_STRONG_BULLISH,41,8,,
GODFRYPHLP,LONG,2026-04-08T09:53:24.948169,2026-04-08T15:00:00.417178,2015.2,1999.0,24,-388.8000000000011,-0.8038904327113957,EOD_EXIT,306,0.8386264390631134,NORMAL_3RD_OI_WITH_STRONG_BULLISH,57,9,,
NUVAMA,LONG,2026-04-08T09:53:25.874511,2026-04-08T15:00:00.417514,1258.0,1283.0,39,975.0,1.987281399046105,EOD_EXIT,306,2.5039745627980925,NORMAL_3RD_OI_WITH_STRONG_BULLISH,9,10,,
