symbol,entry_time,exit_time,entry_price,exit_price,quantity,position_type,net_pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,exit_level,hard_stop_915,confluence_trade,oi_signal_pattern,hybrid_signal_type,entry_reason
NAUKRI,2026-02-02T09:45:47.102982,2026-02-02T09:53:08.942448,1245.0,1251.5,40,SHORT,-260.0,-0.5220883534136547,HARD_STOP_LOSS_915,7,0.0,1250.0,1250.0,True,BEARISH,BEARISH,UNKNOWN
OIL,2026-02-02T09:56:14.710566,2026-02-02T10:07:18.737738,480.35,478.9,104,SHORT,150.80000000000473,0.30186322473197574,PROFIT_TRAILING_STOP_5MIN,11,0.5933173727490418,479.6,490.0,True,STRONG_BEARISH,BEARISH,UNKNOWN
360ONE,2026-02-02T10:18:00.021810,2026-02-02T10:18:00.591816,1096.9,1096.9,45,SHORT,0.0,0.0,HARD_STOP_LOSS_915,0,0.0,1096.3,1096.3,True,STRONG_BEARISH,BEARISH,UNKNOWN
NUVAMA,2026-02-02T10:18:17.122343,2026-02-02T11:12:27.850738,1265.0,1247.0,39,SHORT,702.0,1.4229249011857708,PROFIT_TRAILING_STOP_5MIN,54,1.63636363636364,1248.2,1275.9,True,STRONG_BEARISH,BEARISH,UNKNOWN
