signal_type,tradingsymbol,strike,option_type,entry_price,quantity,lots,entry_option_oi_change,entry_option_oi_change_pct,entry_ce_oi_change,entry_ce_oi_change_pct,entry_pe_oi_change,entry_pe_oi_change_pct,entry_order_id,entry_time,stop_loss,target,exit_time,exit_price,exit_order_id,pnl_per_lot,total_pnl,pnl_pct,exit_reason,status
BULLISH,NIFTY2630224900CE,24900.0,CE,131.75,715,11,0,0.0,0,0.0,0,0.0,PAPER_100000,2026-03-02 09:22:10.502678,79.05,151.75,2026-03-02 09:26:18.043848,76.65,PAPER_100001,-55.099999999999994,-39396.49999999999,-41.82163187855787,STOP_LOSS,CLOSED
BEARISH,NIFTY2630224850PE,24850.0,PE,98.5,975,15,1349400,15.42107100675229,212810,10.247261345852895,1349400,15.42107100675229,PAPER_100002,2026-03-02 09:26:24.456891,59.099999999999994,118.5,2026-03-02 09:33:09.642747,57.85,PAPER_100003,-40.65,-39633.75,-41.26903553299493,STOP_LOSS,CLOSED
