signal_type,tradingsymbol,strike,option_type,entry_price,quantity,lots,entry_option_oi_change,entry_option_oi_change_pct,entry_ce_oi_change,entry_ce_oi_change_pct,entry_pe_oi_change,entry_pe_oi_change_pct,entry_order_id,entry_time,stop_loss,target,exit_time,exit_price,exit_order_id,pnl_per_lot,total_pnl,pnl_pct,exit_reason,status
BULLISH,NIFTY26FEB25850CE,25850.0,CE,115.65,845,13,619580,26.221390845070424,619580,26.221390845070424,835445,63.6035233570863,PAPER_100000,2026-02-19 09:16:18.302255,69.39,135.65,2026-02-19 11:22:54.909142,68.85,PAPER_100001,-46.80000000000001,-39546.00000000001,-40.466926070038916,STOP_LOSS,CLOSED
BEARISH,NIFTY26FEB25700PE,25700.0,PE,125.1,780,12,593320,6.60807621584838,4958460,114.69208563868175,593320,6.60807621584838,PAPER_100002,2026-02-19 11:23:01.481518,75.05999999999999,145.1,2026-02-19 11:36:41.485576,144.7,PAPER_100003,19.599999999999994,15287.999999999996,15.667466027178254,TARGET,CLOSED
