signal_type,tradingsymbol,strike,option_type,entry_price,quantity,lots,entry_option_oi_change,entry_option_oi_change_pct,entry_ce_oi_change,entry_ce_oi_change_pct,entry_pe_oi_change,entry_pe_oi_change_pct,entry_order_id,entry_time,stop_loss,target,exit_time,exit_price,exit_order_id,pnl_per_lot,total_pnl,pnl_pct,exit_reason,status
BULLISH,NIFTY26FEB25850CE,25850.0,CE,120.85,780,12,0,0.0,0,0.0,0,0.0,PAPER_100000,2026-02-19 09:19:13.727942,90.63749999999999,140.85,2026-02-19 09:39:00.245091,89.9,PAPER_100001,-30.94999999999999,-24140.999999999993,-25.61026065370293,STOP_LOSS,CLOSED
BEARISH,NIFTY26FEB25800PE,25800.0,PE,125.75,780,12,2797925,46.07685720402483,3966560,63.999328795712685,2797925,46.07685720402483,PAPER_100002,2026-02-19 09:39:06.089983,94.3125,145.75,2026-02-19 10:21:06.033878,146.6,PAPER_100003,20.849999999999994,16262.999999999996,16.580516898608348,TARGET,CLOSED
