entry_time,signal_type,direction,nifty_ref_spot,instrument,entry_price,qty,capital_used,status,exit_time,exit_price,total_pnl,pnl_pct,exit_reason
2026-04-10 09:16:02,BULLISH,LONG,23902.95,NIFTYBEES,270.70,3694,999965.80,CLOSED,2026-04-10 09:16:15,270.85,554.10,0.06,TARGET_HIT
2026-04-10 09:22:01,BULLISH,LONG,23953.40,NIFTYBEES,271.00,3690,999990.00,CLOSED,2026-04-10 09:24:18,270.85,-553.50,-0.06,STOP_LOSS
2026-04-10 09:34:06,BULLISH,LONG,23952.80,NIFTYBEES,271.09,3688,999779.92,CLOSED,2026-04-10 09:35:31,271.02,-258.16,-0.03,STOP_LOSS
2026-04-10 09:43:11,BULLISH,LONG,23955.90,NIFTYBEES,271.10,3688,999816.80,CLOSED,2026-04-10 09:47:32,271.25,553.20,0.06,TARGET_HIT
2026-04-10 09:55:12,BULLISH,LONG,23990.10,NIFTYBEES,271.29,3686,999974.94,CLOSED,2026-04-10 10:05:01,271.03,-958.36,-0.10,STOP_LOSS
2026-04-10 10:10:17,BEARISH,SHORT,23962.50,NIFTYBEES,271.19,3687,999877.53,CLOSED,2026-04-10 10:15:03,271.34,-553.05,-0.06,STOP_LOSS
2026-04-10 10:22:19,BULLISH,LONG,24020.60,NIFTYBEES,271.50,3683,999934.50,CLOSED,2026-04-10 10:45:21,271.21,-1068.07,-0.11,STOP_LOSS
2026-04-10 10:52:29,BEARISH,SHORT,23989.70,NIFTYBEES,271.19,3687,999877.53,CLOSED,2026-04-10 11:01:30,271.37,-663.66,-0.07,STOP_LOSS
2026-04-10 11:13:37,BULLISH,LONG,24020.40,NIFTYBEES,271.45,3683,999750.35,CLOSED,2026-04-10 11:16:30,271.42,-110.49,-0.01,STOP_LOSS
2026-04-10 11:37:45,BEARISH,SHORT,23982.45,NIFTYBEES,271.25,3686,999827.50,CLOSED,2026-04-10 11:48:00,271.03,810.92,0.08,TARGET_HIT
2026-04-10 11:58:51,BEARISH,SHORT,23993.35,NIFTYBEES,271.30,3685,999740.50,CLOSED,2026-04-10 12:08:25,271.32,-73.70,-0.01,STOP_LOSS
2026-04-10 12:13:53,BULLISH,LONG,24013.05,NIFTYBEES,271.47,3683,999824.01,CLOSED,2026-04-10 12:18:35,271.36,-405.13,-0.04,STOP_LOSS
2026-04-10 12:28:58,BULLISH,LONG,23997.90,NIFTYBEES,271.44,3684,999984.96,CLOSED,2026-04-10 12:36:56,271.60,589.44,0.06,TARGET_HIT
