entry_time,signal_type,entry_strike,option_type,kite_symbol,upstox_instrument_key,entry_price,quantity,lots,order_id,stop_loss,target,trading_mode,spot_at_entry,votes,exit_time,exit_price,exit_order_id,pnl_per_unit,total_pnl,pnl_pct,holding_minutes,exit_reason,status
2026-03-12 11:07:42.383893,BULLISH,23750.0,CE,NIFTY2631723750CE,NSE_FO|57769,273.1,325,5,PAPER_100001,163.86,293.1,PAPER,23743.5,5,2026-03-12 11:25:47.247168,249.05,PAPER_100002,-24.05000000000001,-7816.250000000004,-8.806298059318934,18,OI_REVERSAL,CLOSED
2026-03-12 13:53:33.396330,BEARISH,23750.0,PE,NIFTY2631723750PE,NSE_FO|57773,222.1,390,6,PAPER_100003,133.26,242.1,PAPER,23766.2,2,2026-03-12 14:09:30.272629,243.0,PAPER_100004,20.900000000000006,8151.000000000002,9.41017559657812,15,TARGET,CLOSED
2026-03-12 14:14:37.379861,BEARISH,23750.0,PE,NIFTY2631723750PE,NSE_FO|57773,229.25,390,6,PAPER_100005,137.54999999999998,249.25,PAPER,23742.8,6,2026-03-12 14:40:11.017261,256.6,PAPER_100006,27.350000000000023,10666.50000000001,11.93020719738278,25,TARGET,CLOSED
