entry_time,exit_time,symbol,signal_type,qty,entry_price,exit_price,pnl,pnl_pct,holding_minutes,exit_reason,entry_metric,sell_order_id
2026-04-27T09:34:28.885740,2026-04-27T09:49:30.178738,NIFTY_24050PE,PUT,845,116.3,86.95,-24800.75,-25.24,15,"OI_REVERSAL metric=26.9302 (>0, |m|>=4.0)",-8.807606,PAPER_SELL_1777263570
2026-04-27T11:56:11.317088,2026-04-27T12:02:08.471808,NIFTY_24050PE,PUT,910,107.75,112.4,4231.5,4.32,5,"OI_REVERSAL metric=12.0591 (>0, |m|>=4.0)",-2.869201,PAPER_SELL_1777271528
2026-04-27T12:08:09.670438,2026-04-27T12:11:16.253283,NIFTY_24050PE,PUT,975,101.05,102.3,1218.75,1.24,3,"OI_REVERSAL metric=5.3760 (>0, |m|>=4.0)",-1.787604,PAPER_SELL_1777272076
2026-04-27T12:53:25.501496,2026-04-27T13:11:30.242941,NIFTY_24100PE,PUT,910,103.2,99.0,-3822.0,-4.07,18,"OI_REVERSAL metric=7.4456 (>0, |m|>=4.0)",-3.836541,PAPER_SELL_1777275690
