entry_time,exit_time,symbol,signal_type,qty,entry_price,exit_price,pnl,pnl_pct,holding_minutes,exit_reason,entry_metric,sell_order_id
2026-04-15T09:43:11.852378,2026-04-15T09:46:11.124191,NIFTY_24200PE,PUT,390,227.9,211.05,-6571.5,-7.39,2,"OI_REVERSAL metric=21.0297 (>0, |m|>=4.0)",-9.064961,PAPER_SELL_1776226571
2026-04-15T10:04:19.107597,2026-04-15T10:07:16.117666,NIFTY_24250PE,PUT,390,232.6,222.55,-3919.5,-4.32,2,"OI_REVERSAL metric=6.9346 (>0, |m|>=4.0)",-1.178821,PAPER_SELL_1776227836
2026-04-15T12:04:52.968271,2026-04-15T12:22:27.637110,NIFTY_24250PE,PUT,390,220.85,241.3,7975.5,9.26,17,TARGET,-0.034004,PAPER_SELL_1776235947
2026-04-15T12:38:03.301395,2026-04-15T13:01:13.089648,NIFTY_24250PE,PUT,390,225.45,245.8,7936.5,9.03,23,TARGET,-3.202731,PAPER_SELL_1776238273
