symbol,scenario,signal_type,position_type,entry_time,exit_time,entry_price,exit_price,quantity,leveraged_exposure,exit_reason,rule_triggered,net_pnl,return_pct,max_profit_seen,holding_minutes,entry_order_id,exit_order_id,trade_completed,trade_number,zerodha_symbol,transaction_costs_applied,confluence_trade,oi_signal_pattern,oi_signal_strength,oi_atm_strike,hybrid_signal_type,hybrid_oi_change_pct,hybrid_price_change_pct,confluence_strength,confluence_time_gap_seconds,trailing_stop_high,previous_candle_high,final_holding_minutes,final_profit_pct,system_version
IRFC,CONFLUENCE_CONFIRMED,CONFLUENCE_BEARISH,SHORT,10:01,2025-12-24T15:31:02.100138,121.0,121.54,413,50000,MANUAL_STOP,1,-223.02,-2.23,0.1322314049586749,328,251224190393919,SIM17665704633406,2025-12-24T15:31:03.845352,1,IRFC,False,True,BEARISH,2.34,125.0,BEARISH,-2.05,-0.73,0,0,121.17,121.17,328,0,CONFLUENCE_TRADING_SYSTEM_v2.0_SIMPLE_TRAILING_STOP
DRREDDY,CONFLUENCE_CONFIRMED,CONFLUENCE_BEARISH,SHORT,10:16,2025-12-24T15:31:02.100138,1260.7,1267.1,39,50000,MANUAL_STOP,1,-249.6,-2.5,0.3966050606805742,313,251224190466927,SIM17665704648500,2025-12-24T15:31:04.653013,2,DRREDDY,False,True,STRONG_BEARISH,6.24,1300.0,BEARISH,2.68,-0.6,0,0,1261.6,1261.6,313,0,CONFLUENCE_TRADING_SYSTEM_v2.0_SIMPLE_TRAILING_STOP
