symbol,entry_time,exit_time,entry_price,exit_price,quantity,position_type,net_pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,exit_level,hard_stop_915,confluence_trade,oi_signal_pattern,hybrid_signal_type,entry_reason,scenario,signal_type,leveraged_exposure,rule_triggered,return_pct,entry_order_id,exit_order_id,trade_completed,trade_number,zerodha_symbol,transaction_costs_applied,oi_signal_strength,oi_atm_strike,hybrid_oi_change_pct,hybrid_price_change_pct,confluence_strength,confluence_time_gap_seconds,trailing_stop_high,previous_candle_high,final_holding_minutes,final_profit_pct,system_version
TVSMOTOR,2025-12-29T10:50:20.303784,2025-12-29T12:52:03.433819,3600.3,3579.2,13,SHORT,274.30000000000473,0.5860622725884055,PROFIT_TRAILING_STOP_5MIN,121,0.6193928283754182,3581.8,3663.9,True,STRONG_BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
TITAGARH,2025-12-29T10:45:13.553525,2025-12-29T12:53:26.391651,893.7,911.0,55,SHORT,-951.4999999999975,-1.9357726306366736,HARD_STOP_LOSS_915,128,0.15665212039835413,909.8,909.8,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
MUTHOOTFIN,2025-12-29T10:00:16.869604,2025-12-29T13:00:19.637651,3778.4,3753.8,13,SHORT,319.7999999999988,0.6510692356553014,PROFIT_TRAILING_STOP_5MIN,180,0.823099724751215,3755.0,3826.9,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
FORTIS,2025-12-29T10:04:53.333140,2025-12-29T13:04:02.008432,891.35,885.9,56,SHORT,305.20000000000255,0.6114320973803832,PROFIT_TRAILING_STOP_5MIN,179,0.6843551915633614,885.95,903.0,True,STRONG_BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
HEROMOTOCO,2025-12-29T10:38:25.147261,2025-12-29T13:47:33.204244,5592.5,5561.5,8,SHORT,248.0,0.5543138131426018,PROFIT_TRAILING_STOP_5MIN,189,0.7241841752346893,5559.0,5644.5,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
SBIN,10:16,2025-12-29T14:59:07.586072,962.55,964.95,51,SHORT,-122.4,,EOD_EXIT,281,0.10389070697626097,,,True,BEARISH,BEARISH,,CONFLUENCE_CONFIRMED,CONFLUENCE_BEARISH,50000.0,1.0,-1.22,251229190466757,251229191383685,2025-12-29T14:59:08.187278,3.0,SBIN,False,0.56,980.0,2.01,-0.41,0.0,0.0,962.7,962.7,281.0,0.0,CONFLUENCE_TRADING_SYSTEM_v2.0_SIMPLE_TRAILING_STOP
RVNL,10:30,2025-12-29T14:59:07.586072,371.55,368.6,134,SHORT,395.3,,EOD_EXIT,266,1.251513928138887,,,True,STRONG_BEARISH,EXTREME_BEARISH,,CONFLUENCE_CONFIRMED,CONFLUENCE_BEARISH,50000.0,1.0,3.95,251229190525355,251229191383731,2025-12-29T14:59:08.834617,4.0,RVNL,False,8.79,370.0,-10.58,-0.8,0.0,0.0,374.0,374.0,266.0,0.0,CONFLUENCE_TRADING_SYSTEM_v2.0_SIMPLE_TRAILING_STOP
