symbol,entry_time,exit_time,entry_price,exit_price,quantity,position_type,net_pnl,profit_pct,exit_reason,holding_minutes,max_profit_seen,exit_level,hard_stop_915,confluence_trade,oi_signal_pattern,hybrid_signal_type,entry_reason,scenario,signal_type,leveraged_exposure,rule_triggered,return_pct,entry_order_id,exit_order_id,trade_completed,trade_number,zerodha_symbol,transaction_costs_applied,oi_signal_strength,oi_atm_strike,hybrid_oi_change_pct,hybrid_price_change_pct,confluence_strength,confluence_time_gap_seconds,trailing_stop_high,previous_candle_high,final_holding_minutes,final_profit_pct,system_version
NESTLEIND,2025-12-17T11:00:08.540812,2025-12-17T11:49:19.303381,1236.3,1231.2,40,SHORT,203.99999999999636,0.4125212327104998,PROFIT_TRAILING_STOP_5MIN,49,0.5095850521717993,1231.1,1241.4,True,BEARISH,BEARISH,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
KEI,09:52,2025-12-17T14:59:13.661178,4083.6,4101.0,12,SHORT,-208.8,,EOD_EXIT,305,0.3575276716622566,,,True,STRONG_BEARISH,BEARISH,,CONFLUENCE_CONFIRMED,CONFLUENCE_BEARISH,50000.0,1.0,-2.09,251217190333115,251217191258644,2025-12-17T14:59:14.253320,1.0,KEI,False,2.43,4250.0,2.04,-0.85,0.0,0.0,4089.8,4089.8,305.0,0.0,CONFLUENCE_TRADING_SYSTEM_v2.0_SIMPLE_TRAILING_STOP
